id;id_venta;paso;resultado;explicacion
1;37454;Directives application Home Loan Account;Dam;Practical Fresh Pants
2;60111;alarm;Tasty Metal Bacon;red Chips Soap
3;30424;Albania web-readiness;Namibia;Steel zero administration
4;36636;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table
5;6505;Factors;South Dakota envisioneer Music;Nakfa
6;44015;Rubber Buckinghamshire Games;incentivize Tuna copy;Costa Rica Mayotte
7;18485;Facilitator;Views e-enable Communications;National Awesome sky blue
8;4522;software scale interactive;Louisiana Specialist Home Loan Account;Plastic
9;80219;Small;deliverables reinvent 24 hour;overriding
10;70685;application quantify Unbranded Plastic Tuna;Internal;Investment Account archive Fantastic Plastic Chicken
